purpose,average_loan,average_interest,average_income,loan_count
debt_consolidation,12694.99,12.49,67322.06,18641
credit_card,11723.62,11.7,70439.15,5130
other,8067.61,11.82,63147.25,3993
home_improvement,11537.21,11.4,89736.78,2976
major_purchase,8155.43,10.84,66391.52,2187
small_business,13567.27,13.01,75062.52,1828
car,6777.52,10.53,61842.04,1549
wedding,9876.03,11.89,68663.28,947
medical,8263.67,11.49,68252.86,693
moving,6650.17,11.56,61801.58,583
house,13071.0,12.23,76772.28,381
vacation,5463.32,10.86,59218.93,381
educational,6810.46,11.65,53471.37,325
renewable_energy,8717.23,11.44,77490.01,103
