review,clean_review,bank,rating,sentiment
"State Bank Of India is located nearby in our area so i open my saving account from that bank ,customer service was good, I got my bank statement on time the bank agent informed me every details required. It is very easy and convenience for money deposits.",state bank of india is located nearby in our area so i open my saving account from that bank customer service was good i got my bank statement on time the bank agent informed me every details required it is very easy and convenience for money deposits,SBI,4.0,Satisfied
"I have my salary account in SBI, when I applied for the card I got my statement on time. I am very much satisfied with the the account. Net banking is also functioning smooth and convenient for me. There are some offer in the cards which was good.",i have my salary account in sbi when i applied for the card i got my statement on time i am very much satisfied with the the account net banking is also functioning smooth and convenient for me there are some offer in the cards which was good,SBI,5.0,Satisfied
I am using Axis bank saving account for the  past 3years .Each transaction will be safe and always secure .I am using net banking as well mobile banking service it is used for money transfer and recharge only.There was no difficulties faced so far on using this saving account.,i am using axis bank saving account for the past 3years each transaction will be safe and always secure i am using net banking as well mobile banking service it is used for money transfer and recharge onlythere was no difficulties faced so far on using this saving account,Axis Bank,5.0,Satisfied
"I have my salary bank account in HDFC bank for many years, I got my bank statement on time.This bank is available in most of the areas so its very convenience for deposits and update of passbook. I have no issues with the customer support and its been good experience.",i have my salary bank account in hdfc bank for many years i got my bank statement on timethis bank is available in most of the areas so its very convenience for deposits and update of passbook i have no issues with the customer support and its been good experience,HDFC Bank,5.0,Satisfied
"Close to around 10 years, I am holding this Corporation Bank  savings account The most interesting part about this account I can easily transact and I can withdraw money from anywhere without any charges. ATM and their branches are near to my residence.",close to around 10 years i am holding this corporation bank savings account the most interesting part about this account i can easily transact and i can withdraw money from anywhere without any charges atm and their branches are near to my residence,Unknown,5.0,Satisfied
I am not getting an alert message from IDBI bank whenever I do a transaction from their end to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years and its a zero balance account.,i am not getting an alert message from idbi bank whenever i do a transaction from their end to check the account balance details i use to visit branch and get good response from their end i am holding a saving account for the past 6 years and its a zero balance account,IDBI,5.0,Satisfied
"I am using savings account from SBI more than 4 years. If i don't keep any balance, they are deducting some amount so i am  keep on  maintaining the amount. I am doing all transactions and EMI transfer I am using this account only. Customer service was okay.",i am using savings account from sbi more than 4 years if i dont keep any balance they are deducting some amount so i am keep on maintaining the amount i am doing all transactions and emi transfer i am using this account only customer service was okay,SBI,4.0,Satisfied
"Its been 2 years, i am using Kotak Bank savings account and its really super service, thats why still i have not contacted with the customer service . I went through online and i have mentioned my details to open this  account and its a zero balance account. They haven't charged a debit card fees,  onces i lost my debit card just 2 days i received.",its been 2 years i am using kotak bank savings account and its really super service thats why still i have not contacted with the customer service i went through online and i have mentioned my details to open this account and its a zero balance account they havent charged a debit card fees onces i lost my debit card just 2 days i received,Kotak,5.0,Satisfied
"Since 2002, I am maintain my savings account from HDFC Bank. This is salary comes saving account, no need to maintain minimum balance. I am getting offer messages for loan offer and i never spoke to customer care. For cash withdrawal, shopping and all i use to get instant message.",since 2002 i am maintain my savings account from hdfc bank this is salary comes saving account no need to maintain minimum balance i am getting offer messages for loan offer and i never spoke to customer care for cash withdrawal shopping and all i use to get instant message,HDFC Bank,5.0,Satisfied
"An executive has made to open an account with AXIS, so I have been using this account last 2 months before only. There is no ATM but it will not be charge for other ATM transaction. There is no much branches are avail in my city. So far I didn't faced any fraudulent issue.",an executive has made to open an account with axis so i have been using this account last 2 months before only there is no atm but it will not be charge for other atm transaction there is no much branches are avail in my city so far i didnt faced any fraudulent issue,Axis Bank,5.0,Satisfied
I came to know that there is trial of 0% charge to open a saving account with KOTAK which is 811 app saving account. In which all the process was done through online. I maintain this account more than 2 years. No need to maintain a minimum balance. I have not done much transaction in this account.,i came to know that there is trial of 0 charge to open a saving account with kotak which is 811 app saving account in which all the process was done through online i maintain this account more than 2 years no need to maintain a minimum balance i have not done much transaction in this account,Kotak,5.0,Satisfied
"My mother has suggested SBI to open a saving account with them. Since she is govt employee, know all benefits and details. Hence I am having an account with them past 7 years. Need to maintain a minimum balance of 3K. ATM and branches are near. I use to get all details and update from bank.",my mother has suggested sbi to open a saving account with them since she is govt employee know all benefits and details hence i am having an account with them past 7 years need to maintain a minimum balance of 3k atm and branches are near i use to get all details and update from bank,SBI,5.0,Satisfied
I am using HDFC saving account for more than 5 years. When I joined my previous company they made me to open a salary account with this bank. Later I resigned that job so now converted to saving account. Need to maintain a minimum balance of 10K its kind high if not maintain an amount charges are final. I get calls from banker if they provide any offers  for other products.,i am using hdfc saving account for more than 5 years when i joined my previous company they made me to open a salary account with this bank later i resigned that job so now converted to saving account need to maintain a minimum balance of 10k its kind high if not maintain an amount charges are final i get calls from banker if they provide any offers for other products,HDFC Bank,5.0,Satisfied
"Indian Bank cash deposit machine is not convenient to use and i am using this saving account more than 10 years. The customer service is need to improve and I am keeping minimum balance of Rs. 500. Their net banking facility is okay, I went to the branch for the cash deposit and the response is okay.",indian bank cash deposit machine is not convenient to use and i am using this saving account more than 10 years the customer service is need to improve and i am keeping minimum balance of rs 500 their net banking facility is okay i went to the branch for the cash deposit and the response is okay,Unknown,3.0,Average
"SBI has best Internet banking and its very fast and easy to access any one. I am using this savings account more than 10 years,  if i withdrawal cash more than 5 time no charges. Mostly i am not taking cash at ATM.  I am doing more transcation, so no need to maintain minimum balance and getting immediate response from customer service Bank employees attitude must be change.",sbi has best internet banking and its very fast and easy to access any one i am using this savings account more than 10 years if i withdrawal cash more than 5 time no charges mostly i am not taking cash at atm i am doing more transcation so no need to maintain minimum balance and getting immediate response from customer service bank employees attitude must be change,SBI,4.0,Satisfied
"YES bank service is good, I have been holding saving  account for more than 4 years  but  past two years I am not using  this account , because I forget net banking details if I contact the customer care there is no response so stop using this account itself. ATM and branches services are good.  I use to get alert message on time.",yes bank service is good i have been holding saving account for more than 4 years but past two years i am not using this account because i forget net banking details if i contact the customer care there is no response so stop using this account itself atm and branches services are good i use to get alert message on time,Unknown,4.0,Satisfied
I am holding a salary account with AXIS bank past  2.5 years. I got an immediate alert message on time. I am using mobile app and net banking both are user friendly to access. I need to pay 500 rupees around  for SMS charge and account service on yearly basis.,i am holding a salary account with axis bank past 25 years i got an immediate alert message on time i am using mobile app and net banking both are user friendly to access i need to pay 500 rupees around for sms charge and account service on yearly basis,Axis Bank,4.5,Satisfied
I am using saving account from SBI almost 7-8 years.  Minimum amount need to maintain of 1-5K on monthly basis.  I get only OTP number on time but once the amount debited or credited I wont get any message from their end. I am using  net banking and it is good to access.  There is some charge of 500 rupees on yearly need to pay.,i am using saving account from sbi almost 78 years minimum amount need to maintain of 15k on monthly basis i get only otp number on time but once the amount debited or credited i wont get any message from their end i am using net banking and it is good to access there is some charge of 500 rupees on yearly need to pay,SBI,4.0,Satisfied
"Since 14 years, I am using Oriental Bank savings account and this branch is located very far. ATM service is near and i am keeping minimum balance of Rs. 2500 customer service and this bank app is really good. Instantly I am getting messages from bank.",since 14 years i am using oriental bank savings account and this branch is located very far atm service is near and i am keeping minimum balance of rs 2500 customer service and this bank app is really good instantly i am getting messages from bank,Unknown,3.0,Average
I have Hdfc bank salary account for the past 3 to 4 years . I am using mobile  banking service is used for all transactions and money transfer .If contact customer service for any query then wil be getting good response .I am satisfied with the overall banking service .,i have hdfc bank salary account for the past 3 to 4 years i am using mobile banking service is used for all transactions and money transfer if contact customer service for any query then wil be getting good response i am satisfied with the overall banking service,HDFC Bank,4.0,Satisfied
